ID PROVINSI,PROVINSI,TAHUN,X1 (LUAS PENUTUPAN LAHAN - RIBU Ha),X2 (LUAS KEBAKARAN HUTAN DAN LAHAN - Ha),X3 (TOTAL LUAS TANAMAN PERKEBUNAN - RIBU Ha),X4 (KEPADATAN PENDUDUK - jiwa/km2),X5  (TOTAL POPULASI TERNAK - EKOR),X6 (PDRB PERTAMBANGAN DAN PENGGALIAN PERSEN) ,Y (TREE COVER LOSS- Ha)
P01,ACEH,2015,3161.9,913.27,14978.1,86,1460012.63,5.69,33969
P01,ACEH,2016,3270.9,9158.45,819.8,88,1541017,4.67,50074
P01,ACEH,2017,3120.2,3885.16,882.4,90,1511575,4.64,45813
P01,ACEH,2018,3110.2,1284.7,919.2,91,1155974,4.99,46111
P01,ACEH,2019,3155.6,730,915.4,93,1204409,4.82,28562
P01,ACEH,2020,3126.2,1078,917.4,91,1280377,4.45,30225
P01,ACEH,2021,3135.9,1267,910.9,92,1323270,6.65,31786
P01,ACEH,2022,3144.9,3716,888.6,95,1438218,9.12,29785
P01,ACEH,2023,3151.1,1936.86,853.25,96,466405,7.47,38983
P01,ACEH,2024,3119.16,7257.35,860.99,98,1066153,7.05,46071
P02,SUMATERA UTARA,2015,1759.9,6010.92,2973.5,191,3348981,1.34,53040
P02,SUMATERA UTARA,2016,1813.1,33028.62,2045.3,193,3433195,1.35,79282
P02,SUMATERA UTARA,2017,1785.9,767.98,2180.3,195,3581707,1.3,74551
P02,SUMATERA UTARA,2018,1778.4,3678.79,2232,198,3881936,1.29,66196
P02,SUMATERA UTARA,2019,1853.4,2514,2050.5,200,3651387,1.27,51889
P02,SUMATERA UTARA,2020,1899.5,3744,1995.2,203,2702862,1.28,50234
P02,SUMATERA UTARA,2021,1885.1,4078,1951.1,205,2632771,1.25,59204
P02,SUMATERA UTARA,2022,1910.7,7516,2015.9,209,2608034,1.21,49218
P02,SUMATERA UTARA,2023,1945.9,2113.75,1972.93,212,668925,1.17,65335
P02,SUMATERA UTARA,2024,1932.68,7032.27,1965.18,215,1847763,1.16,64259
